Atlantic Coast, Year, Rankability, EloCorr, EloPred
,1995,,
,,0.8750,0.9639,0.9167
,1996,,
,,0.8750,0.9374,0.8056
,1997,,
,,0.8750,0.9478,0.9444
,1998,,
,,0.8750,0.9646,0.8889
,1999,,
,,0.7791,0.8914,0.7222
,2000,,
,,0.8750,0.9603,0.9167
,2001,,
,,0.8313,0.9275,0.7500
,2002,,
,,0.8346,0.9308,0.8611
,2003,,
,,0.8438,0.8835,0.8056
Big East, Year, Rankability, EloCorr, EloPred
,1995,,
,,0.8571,0.9253,0.8929
,1996,,
,,0.8571,0.9477,0.9286
,1997,,
,,0.8149,0.8487,0.7500
,1998,,
,,0.8169,0.8835,0.8571
,1999,,
,,0.8571,0.8945,0.8571
,2000,,
,,0.8571,0.9183,0.9286
,2001,,
,,0.8571,0.9397,0.9643
,2002,,
,,0.8571,0.9525,0.9286
,2003,,
,,0.8571,0.9075,0.8929
,2004,,
,,0.6615,0.8077,0.7143
,2005,,
,,0.8375,0.9070,0.8571
,2006,,
,,0.8049,0.9218,0.8214
,2007,,
,,0.6841,0.7985,0.7143
,2008,,
,,0.8049,0.8803,0.8214
,2009,,
,,0.8571,0.9392,0.8929
,2010,,
,,0.7082,0.8434,0.7500
,2011,,
,,0.7143,0.7312,0.7500
,2012,,
,,0.7143,0.8874,0.7143
Mountain West, Year, Rankability, EloCorr, EloPred
,1999,,
,,0.7078,0.8736,0.7143
,2000,,
,,0.8371,0.7269,0.7500
,2001,,
,,0.8571,0.9522,0.8571
,2002,,
,,0.8200,0.9192,0.8214
,2003,,
,,0.7489,0.8168,0.7500
,2004,,
,,0.8377,0.8842,0.8929
,2005,,
,,0.8450,0.8441,0.7222
,2006,,
,,0.8640,0.9129,0.8611
,2007,,
,,0.8750,0.9360,0.8889
,2008,,
,,0.8750,0.9538,0.9444
,2009,,
,,1.0000,0.9669,1.0000
,2010,,
,,0.8750,0.9320,0.9722
,2011,,
,,0.8571,0.9201,0.9643
